Facets,Cleaned_Facet,Category,Description,Weight,Prompt_Template
Intellect,Intellect,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Intellect.",1.0,"Rate how strongly the text exhibits 'Intellect' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Intellect.)"
Use of Mathematical Formulas,Use of Mathematical Formulas,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Use of Mathematical Formulas.",1.0,"Rate how strongly the text exhibits 'Use of Mathematical Formulas' (Assesses logical coherence, analytical reasoning, and structured processing associated with Use of Mathematical Formulas.)"
Coarseness,Coarseness,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Coarseness.",1.0,"Rate how strongly the text exhibits 'Coarseness' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Coarseness.)"
Behavioral Tendencies and Subcomponents:,Behavioral Tendencies and Subcomponents,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Behavioral Tendencies and Subcomponents.",1.0,"Rate how strongly the text exhibits 'Behavioral Tendencies and Subcomponents' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Behavioral Tendencies and Subcomponents.)"
Sensitivity,Sensitivity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sensitivity.",1.0,"Rate how strongly the text exhibits 'Sensitivity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sensitivity.)"
Divided Attention Ability,Divided Attention Ability,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Divided Attention Ability.",1.0,"Rate how strongly the text exhibits 'Divided Attention Ability' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Divided Attention Ability.)"
Psychological construct: Acculturative Stress score,Psychological construct: Acculturative Stress score,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Acculturative Stress score.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Acculturative Stress score' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Acculturative Stress score.)"
Dauntlessness,Dauntlessness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dauntlessness.",1.0,"Rate how strongly the text exhibits 'Dauntlessness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dauntlessness.)"
Concreteness,Concreteness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Concreteness.",1.0,"Rate how strongly the text exhibits 'Concreteness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Concreteness.)"
Hysteria (Hy),Hysteria (Hy),Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Hysteria (Hy).",1.0,"Rate how strongly the text exhibits 'Hysteria (Hy)' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Hysteria (Hy).)"
911. Jewish spiritual metric: Sukkot lulav-shaking days,Jewish spiritual metric: Sukkot lulav-shaking days,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Jewish spiritual metric: Sukkot lulav-shaking days.",1.0,"Rate how strongly the text exhibits 'Jewish spiritual metric: Sukkot lulav-shaking days' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Jewish spiritual metric: Sukkot lulav-shaking days.)"
Sentence Structure,Sentence Structure,Linguistic Quality,"Assesses structural, syntactic, and stylistic features of language production related to Sentence Structure.",1.0,"Rate how strongly the text exhibits 'Sentence Structure' (Assesses structural, syntactic, and stylistic features of language production related to Sentence Structure.)"
Esteem Needs,Esteem Needs,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Esteem Needs.",1.0,"Rate how strongly the text exhibits 'Esteem Needs' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Esteem Needs.)"
Understanding mechanical concepts,Understanding mechanical concepts,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Understanding mechanical concepts.",1.0,"Rate how strongly the text exhibits 'Understanding mechanical concepts' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Understanding mechanical concepts.)"
Auditory Memory Recall,Auditory Memory Recall,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Auditory Memory Recall.",1.0,"Rate how strongly the text exhibits 'Auditory Memory Recall' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Auditory Memory Recall.)"
Storytelling proficiency,Storytelling proficiency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Storytelling proficiency.",1.0,"Rate how strongly the text exhibits 'Storytelling proficiency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Storytelling proficiency.)"
Music-lessons years,Music-lessons years,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Music-lessons years.",1.0,"Rate how strongly the text exhibits 'Music-lessons years' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Music-lessons years.)"
Warmheartedness,Warmheartedness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Warmheartedness.",1.0,"Rate how strongly the text exhibits 'Warmheartedness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Warmheartedness.)"
Self-effacement,Self-effacement,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Self-effacement.",1.0,"Rate how strongly the text exhibits 'Self-effacement' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Self-effacement.)"
Outspokenness,Outspokenness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Outspokenness.",1.0,"Rate how strongly the text exhibits 'Outspokenness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Outspokenness.)"
Sleep-environment temperature,Sleep-environment temperature,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sleep-environment temperature.",1.0,"Rate how strongly the text exhibits 'Sleep-environment temperature' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sleep-environment temperature.)"
Comprehension of spoken information,Comprehension of spoken information,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Comprehension of spoken information.",1.0,"Rate how strongly the text exhibits 'Comprehension of spoken information' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Comprehension of spoken information.)"
Blissfulness,Blissfulness,Emotion,"Measures the presence, intensity, and nuance of emotion related to Blissfulness.",1.0,"Rate how strongly the text exhibits 'Blissfulness' (Measures the presence, intensity, and nuance of emotion related to Blissfulness.)"
Sequential Memory Recall,Sequential Memory Recall,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sequential Memory Recall.",1.0,"Rate how strongly the text exhibits 'Sequential Memory Recall' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sequential Memory Recall.)"
Withdrawnness,Withdrawnness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Withdrawnness.",1.0,"Rate how strongly the text exhibits 'Withdrawnness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Withdrawnness.)"
892. Hindu spiritual metric: Yoga discipline hours / week,Hindu spiritual metric: Yoga discipline hours / week,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Hindu spiritual metric: Yoga discipline hours / week.",1.0,"Rate how strongly the text exhibits 'Hindu spiritual metric: Yoga discipline hours / week' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Hindu spiritual metric: Yoga discipline hours / week.)"
Conservatism,Conservatism,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Conservatism.",1.0,"Rate how strongly the text exhibits 'Conservatism' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Conservatism.)"
Adaptability and Flexibility Subcomponents:,Adaptability and Flexibility Subcomponents,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Adaptability and Flexibility Subcomponents.",1.0,"Rate how strongly the text exhibits 'Adaptability and Flexibility Subcomponents' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Adaptability and Flexibility Subcomponents.)"
898. Hindu spiritual metric: Vrata vows observed / year,Hindu spiritual metric: Vrata vows observed / year,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Hindu spiritual metric: Vrata vows observed / year.",1.0,"Rate how strongly the text exhibits 'Hindu spiritual metric: Vrata vows observed / year' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Hindu spiritual metric: Vrata vows observed / year.)"
Ardency,Ardency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Ardency.",1.0,"Rate how strongly the text exhibits 'Ardency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Ardency.)"
Aesthetic Appreciation,Aesthetic Appreciation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Aesthetic Appreciation.",1.0,"Rate how strongly the text exhibits 'Aesthetic Appreciation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Aesthetic Appreciation.)"
Transactional Leadership:,Transactional Leadership,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Transactional Leadership.",1.0,"Rate how strongly the text exhibits 'Transactional Leadership' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Transactional Leadership.)"
Value orientation: Universalism,Value orientation: Universalism,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Value orientation: Universalism.",1.0,"Rate how strongly the text exhibits 'Value orientation: Universalism' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Value orientation: Universalism.)"
Perseverance,Perseverance,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Perseverance.",1.0,"Rate how strongly the text exhibits 'Perseverance' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Perseverance.)"
Regularity of Self-Reflection,Regularity of Self-Reflection,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Regularity of Self-Reflection.",1.0,"Rate how strongly the text exhibits 'Regularity of Self-Reflection' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Regularity of Self-Reflection.)"
Controlling Reactions,Controlling Reactions,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Controlling Reactions.",1.0,"Rate how strongly the text exhibits 'Controlling Reactions' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Controlling Reactions.)"
Psychological construct: Cultural Intelligence – Behavioral,Psychological construct: Cultural Intelligence – Behavioral,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Cultural Intelligence – Behavioral.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Cultural Intelligence – Behavioral' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Cultural Intelligence – Behavioral.)"
Metabolic Rate (Low or High),Metabolic Rate (Low or High),Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Metabolic Rate (Low or High).",1.0,"Rate how strongly the text exhibits 'Metabolic Rate (Low or High)' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Metabolic Rate (Low or High).)"
Dietary Habits,Dietary Habits,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dietary Habits.",1.0,"Rate how strongly the text exhibits 'Dietary Habits' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dietary Habits.)"
Significance: Desire to make an impact,Significance: Desire to make an impact,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Significance: Desire to make an impact.",1.0,"Rate how strongly the text exhibits 'Significance: Desire to make an impact' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Significance: Desire to make an impact.)"
Psychological construct: Resilience-Trait score,Psychological construct: Resilience-Trait score,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Resilience-Trait score.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Resilience-Trait score' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Resilience-Trait score.)"
Boredom Susceptibility,Boredom Susceptibility,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Boredom Susceptibility.",1.0,"Rate how strongly the text exhibits 'Boredom Susceptibility' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Boredom Susceptibility.)"
Psychological construct: Consummatory Pleasure scale,Psychological construct: Consummatory Pleasure scale,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Consummatory Pleasure scale.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Consummatory Pleasure scale' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Consummatory Pleasure scale.)"
Leadership Styles and Behaviors:,Leadership Styles and Behaviors,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Leadership Styles and Behaviors.",1.0,"Rate how strongly the text exhibits 'Leadership Styles and Behaviors' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Leadership Styles and Behaviors.)"
723. I Ching hexagram 5 resonance level,I Ching hexagram 5 resonance level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 5 resonance level.",1.0,"Rate how strongly the text exhibits 'I Ching hexagram 5 resonance level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 5 resonance level.)"
Macronutrient ratio: carbs,Macronutrient ratio: carbs,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Macronutrient ratio: carbs.",1.0,"Rate how strongly the text exhibits 'Macronutrient ratio: carbs' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Macronutrient ratio: carbs.)"
Passport-stamps count,Passport-stamps count,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Passport-stamps count.",1.0,"Rate how strongly the text exhibits 'Passport-stamps count' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Passport-stamps count.)"
Local-food sourcing %,Local-food sourcing %,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Local-food sourcing %.",1.0,"Rate how strongly the text exhibits 'Local-food sourcing %' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Local-food sourcing %.)"
Patient care orientation,Patient care orientation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Patient care orientation.",1.0,"Rate how strongly the text exhibits 'Patient care orientation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Patient care orientation.)"
Soft-skill training hours,Soft-skill training hours,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Soft-skill training hours.",1.0,"Rate how strongly the text exhibits 'Soft-skill training hours' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Soft-skill training hours.)"
Graffiti appreciation,Graffiti appreciation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Graffiti appreciation.",1.0,"Rate how strongly the text exhibits 'Graffiti appreciation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Graffiti appreciation.)"
Preference for Home-Cooked vs Restaurant Meals,Preference for Home-Cooked vs Restaurant Meals,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Preference for Home-Cooked vs Restaurant Meals.",1.0,"Rate how strongly the text exhibits 'Preference for Home-Cooked vs Restaurant Meals' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Preference for Home-Cooked vs Restaurant Meals.)"
Immune-response age,Immune-response age,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Immune-response age.",1.0,"Rate how strongly the text exhibits 'Immune-response age' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Immune-response age.)"
Social-cognition variable: Cognitive Empathy,Social-cognition variable: Cognitive Empathy,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Social-cognition variable: Cognitive Empathy.",1.0,"Rate how strongly the text exhibits 'Social-cognition variable: Cognitive Empathy' (Assesses logical coherence, analytical reasoning, and structured processing associated with Social-cognition variable: Cognitive Empathy.)"
Kink-interest diversity,Kink-interest diversity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Kink-interest diversity.",1.0,"Rate how strongly the text exhibits 'Kink-interest diversity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Kink-interest diversity.)"
Adaptability and Flexibility:,Adaptability and Flexibility,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Adaptability and Flexibility.",1.0,"Rate how strongly the text exhibits 'Adaptability and Flexibility' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Adaptability and Flexibility.)"
Judging Consequences,Judging Consequences,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Judging Consequences.",1.0,"Rate how strongly the text exhibits 'Judging Consequences' (Assesses logical coherence, analytical reasoning, and structured processing associated with Judging Consequences.)"
Harmfulness,Harmfulness,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Harmfulness.",1.0,"Rate how strongly the text exhibits 'Harmfulness' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Harmfulness.)"
Affinity,Affinity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Affinity.",1.0,"Rate how strongly the text exhibits 'Affinity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Affinity.)"
Abasement,Abasement,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Abasement.",1.0,"Rate how strongly the text exhibits 'Abasement' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Abasement.)"
Chronic pain presence,Chronic pain presence,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Chronic pain presence.",1.0,"Rate how strongly the text exhibits 'Chronic pain presence' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Chronic pain presence.)"
520. Discernment practice hours / week,Discernment practice hours / week,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Discernment practice hours / week.",1.0,"Rate how strongly the text exhibits 'Discernment practice hours / week' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Discernment practice hours / week.)"
Initiative,Initiative,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Initiative.",1.0,"Rate how strongly the text exhibits 'Initiative' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Initiative.)"
Courageousness,Courageousness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Courageousness.",1.0,"Rate how strongly the text exhibits 'Courageousness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Courageousness.)"
Joyfulness,Joyfulness,Emotion,"Measures the presence, intensity, and nuance of emotion related to Joyfulness.",1.0,"Rate how strongly the text exhibits 'Joyfulness' (Measures the presence, intensity, and nuance of emotion related to Joyfulness.)"
Suspicion,Suspicion,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Suspicion.",1.0,"Rate how strongly the text exhibits 'Suspicion' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Suspicion.)"
Basophil count,Basophil count,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Basophil count.",1.0,"Rate how strongly the text exhibits 'Basophil count' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Basophil count.)"
Attachment avoidance score,Attachment avoidance score,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Attachment avoidance score.",1.0,"Rate how strongly the text exhibits 'Attachment avoidance score' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Attachment avoidance score.)"
Time Orientation End Points:,Time Orientation End Points,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Time Orientation End Points.",1.0,"Rate how strongly the text exhibits 'Time Orientation End Points' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Time Orientation End Points.)"
Brazenness,Brazenness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Brazenness.",1.0,"Rate how strongly the text exhibits 'Brazenness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Brazenness.)"
Talkativeness,Talkativeness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Talkativeness.",1.0,"Rate how strongly the text exhibits 'Talkativeness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Talkativeness.)"
Equitableness,Equitableness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Equitableness.",1.0,"Rate how strongly the text exhibits 'Equitableness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Equitableness.)"
Ideas generated/day,Ideas generated/day,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Ideas generated/day.",1.0,"Rate how strongly the text exhibits 'Ideas generated/day' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Ideas generated/day.)"
Originality,Originality,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Originality.",1.0,"Rate how strongly the text exhibits 'Originality' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Originality.)"
Fearfulness: Fear of physical dangers,Fearfulness: Fear of physical dangers,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Fearfulness: Fear of physical dangers.",1.0,"Rate how strongly the text exhibits 'Fearfulness: Fear of physical dangers' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Fearfulness: Fear of physical dangers.)"
Dance rehearsal hours/week,Dance rehearsal hours/week,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dance rehearsal hours/week.",1.0,"Rate how strongly the text exhibits 'Dance rehearsal hours/week' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Dance rehearsal hours/week.)"
561. Practice frequency: Mantra meditation,Practice frequency: Mantra meditation,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Practice frequency: Mantra meditation.",1.0,"Rate how strongly the text exhibits 'Practice frequency: Mantra meditation' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Practice frequency: Mantra meditation.)"
Public-transport km/week,Public-transport km/week,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Public-transport km/week.",1.0,"Rate how strongly the text exhibits 'Public-transport km/week' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Public-transport km/week.)"
Social Desirability Bias,Social Desirability Bias,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Social Desirability Bias.",1.0,"Rate how strongly the text exhibits 'Social Desirability Bias' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Social Desirability Bias.)"
761. I Ching hexagram 43 resonance level,I Ching hexagram 43 resonance level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 43 resonance level.",1.0,"Rate how strongly the text exhibits 'I Ching hexagram 43 resonance level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 43 resonance level.)"
Disagreeableness,Disagreeableness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Disagreeableness.",1.0,"Rate how strongly the text exhibits 'Disagreeableness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Disagreeableness.)"
Participation in Community Activities,Participation in Community Activities,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Participation in Community Activities.",1.0,"Rate how strongly the text exhibits 'Participation in Community Activities' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Participation in Community Activities.)"
Impudence,Impudence,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Impudence.",1.0,"Rate how strongly the text exhibits 'Impudence' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Impudence.)"
Analogies,Analogies,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Analogies.",1.0,"Rate how strongly the text exhibits 'Analogies' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Analogies.)"
Clumsiness,Clumsiness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Clumsiness.",1.0,"Rate how strongly the text exhibits 'Clumsiness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Clumsiness.)"
Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Tendency Toward Compromise or Confrontation.",1.0,"Rate how strongly the text exhibits 'Tendency Toward Compromise or Confrontation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Tendency Toward Compromise or Confrontation.)"
737. I Ching hexagram 19 resonance level,I Ching hexagram 19 resonance level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 19 resonance level.",1.0,"Rate how strongly the text exhibits 'I Ching hexagram 19 resonance level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 19 resonance level.)"
Robotics-interaction frequency,Robotics-interaction frequency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Robotics-interaction frequency.",1.0,"Rate how strongly the text exhibits 'Robotics-interaction frequency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Robotics-interaction frequency.)"
Casual lifestyle,Casual lifestyle,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Casual lifestyle.",1.0,"Rate how strongly the text exhibits 'Casual lifestyle' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Casual lifestyle.)"
Collectedness,Collectedness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Collectedness.",1.0,"Rate how strongly the text exhibits 'Collectedness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Collectedness.)"
Reliance on context,Reliance on context,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Reliance on context.",1.0,"Rate how strongly the text exhibits 'Reliance on context' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Reliance on context.)"
Delegation skills,Delegation skills,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Delegation skills.",1.0,"Rate how strongly the text exhibits 'Delegation skills' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Delegation skills.)"
